0 | organ | tissue | bone | connective tissue 
477 | salivary gland | gland | Protein denaturation by heat | Protein denaturation 
478 | stomach | digestive organ | Metabolism | Biological process 
479 | Muscle contraction | Mechanical work | Metabolism | Biological process 
480 | adipose tissue | connective tissue | Evaporative cooling of water | Evaporative cooling 
481 | cuboidal epithelium | epithelium | small intestine | digestive organ 
482 | bone | tissue | stratified squamous epithelium | epithelium 
482 | bone | tissue | stratified squamous epithelium | tissue 
483 | bone | connective tissue | stratified squamous epithelium | epithelium 
484 | epithelium | tissue | nervous tissue | tissue 
485 | muscle | tissue | adipose tissue | connective tissue 
485 | muscle | tissue | adipose tissue | tissue 
486 | cartilage | tissue | cartilage | connective tissue 
486 | cartilage | tissue | cartilage | tissue 
487 | cartilage | connective tissue | cartilage | connective tissue 
488 | Disease process | Biological process | stratified squamous epithelium | epithelium 
489 | salivary gland | gland | Metabolism | Biological process 
490 | salivary gland | gland | cuboidal epithelium | epithelium 
491 | mammalian digestive system | digestive system | Evaporative cooling of water | Evaporative cooling 
492 | mammalian digestive system | digestive system | salivary gland | gland 
493 | brown fat | connective tissue | bone | connective tissue 
493 | brown fat | connective tissue | bone | tissue 
494 | brown fat | adipose tissue | bone | connective tissue 
495 | cartilage | connective tissue | Shivering | Biological process 
496 | ligament | tissue | brown fat | adipose tissue 
496 | ligament | tissue | brown fat | connective tissue 
496 | ligament | tissue | brown fat | tissue 
497 | ligament | connective tissue | brown fat | adipose tissue 
497 | ligament | connective tissue | brown fat | connective tissue 
498 | Hibernation | Biological process | brown fat | adipose tissue 
498 | Hibernation | Biological process | brown fat | connective tissue 
498 | Hibernation | Biological process | brown fat | tissue 
499 | Evaporative cooling of water | Evaporative cooling | brown fat | adipose tissue 
500 | Metabolism | Biological process | adipose tissue | connective tissue 
501 | Disease process | Biological process | salivary gland | gland 
502 | Evaporative cooling of water | Evaporative cooling | brown fat | adipose tissue 
503 | hypothalamus | nervous tissue | brown fat | adipose tissue 
503 | hypothalamus | nervous tissue | brown fat | connective tissue 
503 | hypothalamus | nervous tissue | brown fat | tissue 
504 | cartilage | tissue | stratified squamous epithelium | epithelium 
504 | cartilage | tissue | stratified squamous epithelium | tissue 
505 | cartilage | connective tissue | stratified squamous epithelium | epithelium 
506 | invertebrate | animal | Shivering | Biological process 
507 | Protein denaturation by heat | Protein denaturation | small intestine | digestive organ 
508 | Shivering | Biological process | cuboidal epithelium | epithelium 
509 | erythrocyte | blood cell | Disease process | Biological process 
510 | muscle | tissue | stratified squamous epithelium | epithelium 
510 | muscle | tissue | stratified squamous epithelium | tissue 
511 | stomach | digestive organ | connective tissue | tissue 
512 | brown fat | adipose tissue | aquatic organism | organism 
513 | epithelium | tissue | aquatic organism | organism 
514 | cuboidal epithelium | tissue | adipose tissue | connective tissue 
514 | cuboidal epithelium | tissue | adipose tissue | tissue 
515 | cuboidal epithelium | epithelium | adipose tissue | connective tissue 
516 | mouse | mammal | connective tissue | tissue 
517 | cartilage | connective tissue | nervous tissue | tissue 
518 | small intestine | digestive organ | mouse | mammal 
519 | aquatic organism | organism | Disease process | Biological process 
520 | anterior pituitary | organ | brown fat | adipose tissue 
520 | anterior pituitary | organ | brown fat | connective tissue 
520 | anterior pituitary | organ | brown fat | tissue 
521 | blood | tissue | cartilage | connective tissue 
521 | blood | tissue | cartilage | tissue 
522 | blood | connective tissue | cartilage | connective tissue 
523 | adipose tissue | tissue | adipose tissue | connective tissue 
523 | adipose tissue | tissue | adipose tissue | tissue 
524 | adipose tissue | connective tissue | adipose tissue | connective tissue 
525 | salivary gland | gland | cartilage | connective tissue 
526 | connective tissue | tissue | bone | connective tissue 
527 | Protein denaturation by heat | Protein denaturation | small intestine | digestive organ 
528 | Shivering | Biological process | Protein denaturation by heat | Protein denaturation 
529 | Shivering | Biological process | bone | connective tissue 
530 | central nervous-system | organ system | adipose tissue | connective tissue 
530 | central nervous-system | organ system | adipose tissue | tissue 
531 | salivary gland | gland | Protein denaturation by heat | Protein denaturation 
532 | blood | connective tissue | small intestine | digestive organ 
533 | digestive organ | organ | brown fat | adipose tissue 
533 | digestive organ | organ | brown fat | connective tissue 
534 | muscle | tissue | bone | connective tissue 
534 | muscle | tissue | bone | tissue 
535 | aquatic organism | organism | aquatic organism | organism 
536 | Protein denaturation by heat | Protein denaturation | salivary gland | gland 
537 | Protein denaturation by heat | Protein denaturation | adipose tissue | connective tissue 
538 | Protein denaturation by heat | Protein denaturation | Shivering | Biological process 
539 | stratified squamous epithelium | tissue | bone | connective tissue 
539 | stratified squamous epithelium | tissue | bone | tissue 
540 | stratified squamous epithelium | epithelium | bone | connective tissue 
541 | tendon | connective tissue | stratified squamous epithelium | epithelium 
541 | tendon | connective tissue | stratified squamous epithelium | tissue 
542 | stratified squamous epithelium | epithelium | connective tissue | tissue 
543 | invertebrate | animal | Metabolism | Biological process 
544 | mouse | mammal | brown fat | adipose tissue 
545 | muscle | tissue | bone | connective tissue 
545 | muscle | tissue | bone | tissue 
546 | salivary gland | gland | brown fat | adipose tissue 
547 | mammalian digestive system | digestive system | stomach | digestive organ 
548 | epithelium | tissue | cuboidal epithelium | epithelium 
549 | stomach | digestive organ | mammalian digestive system | digestive system 
550 | animal | organism | cartilage | connective tissue 
550 | animal | organism | cartilage | tissue 
551 | brown fat | adipose tissue | epithelium | tissue 
552 | epithelium | tissue | mouse | mammal 
553 | mammalian digestive system | digestive system | stratified squamous epithelium | epithelium 
554 | central nervous-system | organ system | brown fat | adipose tissue 
554 | central nervous-system | organ system | brown fat | connective tissue 
555 | connective tissue | tissue | bone | connective tissue 
556 | stratified squamous epithelium | epithelium | invertebrate | animal 
557 | blood | connective tissue | Shivering | Biological process 
558 | brown fat | adipose tissue | small intestine | digestive organ 
559 | Thermoregulation | Regulation | Shivering | Biological process 
560 | brown fat | tissue | brown fat | adipose tissue 
560 | brown fat | tissue | brown fat | connective tissue 
560 | brown fat | tissue | brown fat | tissue 
561 | brown fat | connective tissue | brown fat | adipose tissue 
561 | brown fat | connective tissue | brown fat | connective tissue 
562 | brown fat | adipose tissue | brown fat | adipose tissue 
563 | invertebrate | animal | stomach | digestive organ 
564 | smooth muscle | tissue | brown fat | adipose tissue 
564 | smooth muscle | tissue | brown fat | connective tissue 
565 | blood | tissue | bone | connective tissue 
565 | blood | tissue | bone | tissue 
566 | blood | connective tissue | bone | connective tissue 
567 | erythrocyte | blood cell | epithelium | tissue 
568 | small intestine | digestive organ | stomach | digestive organ 
569 | cuboidal epithelium | epithelium | invertebrate | animal 
570 | epidermis | tissue | brown fat | adipose tissue 
570 | epidermis | tissue | brown fat | connective tissue 
571 | epithelium | tissue | brown fat | adipose tissue 
572 | epithelium | tissue | Shivering | Biological process 
573 | connective tissue | tissue | cuboidal epithelium | epithelium 
574 | Muscle contraction | Mechanical work | nervous tissue | tissue 
575 | Shivering | Biological process | Metabolism | Biological process 
576 | blood vessel | organ | brown fat | adipose tissue 
576 | blood vessel | organ | brown fat | connective tissue 
576 | blood vessel | organ | brown fat | tissue 
577 | bone | connective tissue | nervous tissue | tissue 
578 | digestive organ | organ | adipose tissue | connective tissue 
578 | digestive organ | organ | adipose tissue | tissue 
579 | mammalian digestive system | digestive system | invertebrate | animal 
580 | aquatic organism | organism | salivary gland | gland 
581 | cuboidal epithelium | tissue | adipose tissue | connective tissue 
581 | cuboidal epithelium | tissue | adipose tissue | tissue 
582 | cuboidal epithelium | epithelium | adipose tissue | connective tissue 
583 | adipose tissue | connective tissue | Protein denaturation by heat | Protein denaturation 
584 | Metabolism | Biological process | salivary gland | gland 
585 | mouse | mammal | nervous tissue | tissue 
586 | nervous tissue | tissue | connective tissue | tissue 
587 | mammalian digestive system | digestive system | mammalian digestive system | digestive system 
588 | salivary gland | gland | adipose tissue | connective tissue 
589 | bone | tissue | cartilage | connective tissue 
589 | bone | tissue | cartilage | tissue 
590 | bone | connective tissue | cartilage | connective tissue 
591 | small intestine | digestive organ | salivary gland | gland 
592 | blood | tissue | bone | connective tissue 
592 | blood | tissue | bone | tissue 
593 | blood | connective tissue | bone | connective tissue 
594 | stratified squamous epithelium | epithelium | Protein denaturation by heat | Protein denaturation 
595 | Disease process | Biological process | Shivering | Biological process 
596 | Metabolism | Biological process | brown fat | adipose tissue 
597 | aquatic organism | organism | adipose tissue | connective tissue 
598 | cuboidal epithelium | tissue | brown fat | adipose tissue 
598 | cuboidal epithelium | tissue | brown fat | connective tissue 
599 | cuboidal epithelium | epithelium | brown fat | adipose tissue 
600 | salivary gland | gland | aquatic organism | organism 
601 | Evaporative cooling of water | Evaporative cooling | stratified squamous epithelium | epithelium 
602 | muscle | tissue | adipose tissue | connective tissue 
602 | muscle | tissue | adipose tissue | tissue 
603 | salivary gland | gland | Metabolism | Biological process 
604 | Disease process | Biological process | bone | connective tissue 
605 | adipose tissue | connective tissue | mouse | mammal 
606 | mouse | mammal | Shivering | Biological process 
607 | epithelium | tissue | bone | connective tissue 
608 | cartilage | tissue | stratified squamous epithelium | epithelium 
608 | cartilage | tissue | stratified squamous epithelium | tissue 
609 | cartilage | connective tissue | stratified squamous epithelium | epithelium 
610 | blood | connective tissue | stomach | digestive organ 
611 | Thermoregulation | Regulation | mammalian digestive system | digestive system 
612 | smooth muscle | tissue | stratified squamous epithelium | epithelium 
612 | smooth muscle | tissue | stratified squamous epithelium | tissue 
613 | blood | connective tissue | Protein denaturation by heat | Protein denaturation 
614 | mammalian digestive system | digestive system | Metabolism | Biological process 
615 | invertebrate | animal | small intestine | digestive organ 
616 | tongue | organ | cartilage | connective tissue 
616 | tongue | organ | cartilage | tissue 
617 | Metabolism | Biological process | Protein denaturation by heat | Protein denaturation 
618 | adipose tissue | connective tissue | salivary gland | gland 
619 | stomach | digestive organ | cuboidal epithelium | epithelium 
620 | aquatic organism | organism | cartilage | connective tissue 
621 | bone | connective tissue | small intestine | digestive organ 
622 | digestive system | organ system | brown fat | adipose tissue 
622 | digestive system | organ system | brown fat | connective tissue 
623 | epithelium | tissue | bone | connective tissue 
624 | blood | connective tissue | small intestine | digestive organ 
625 | digestive organ | organ | stratified squamous epithelium | epithelium 
625 | digestive organ | organ | stratified squamous epithelium | tissue 
626 | Evaporative cooling of water | Evaporative cooling | Disease process | Biological process 
627 | stratified squamous epithelium | tissue | bone | connective tissue 
627 | stratified squamous epithelium | tissue | bone | tissue 
628 | stratified squamous epithelium | epithelium | bone | connective tissue 
629 | digestive organ | organ | bone | connective tissue 
629 | digestive organ | organ | bone | tissue 
630 | Muscle contraction | Mechanical work | Evaporative cooling of water | Evaporative cooling 
631 | mammalian digestive system | digestive system | cartilage | connective tissue 
632 | Metabolism | Biological process | cuboidal epithelium | epithelium 
633 | bone | tissue | adipose tissue | connective tissue 
633 | bone | tissue | adipose tissue | tissue 
634 | bone | connective tissue | adipose tissue | connective tissue 
635 | Metabolism | Biological process | stratified squamous epithelium | epithelium 
636 | cartilage | connective tissue | connective tissue | tissue 
637 | cartilage | tissue | brown fat | adipose tissue 
637 | cartilage | tissue | brown fat | connective tissue 
638 | cartilage | connective tissue | brown fat | adipose tissue 
639 | Protein denaturation by heat | Protein denaturation | mouse | mammal 
640 | invertebrate | animal | invertebrate | animal 
641 | cuboidal epithelium | tissue | cuboidal epithelium | epithelium 
641 | cuboidal epithelium | tissue | cuboidal epithelium | tissue 
642 | cuboidal epithelium | epithelium | cuboidal epithelium | epithelium 
643 | aquatic organism | organism | Metabolism | Biological process 
644 | stratified squamous epithelium | epithelium | salivary gland | gland 
645 | Muscle contraction | Mechanical work | mammalian digestive system | digestive system 
646 | Protein denaturation by heat | Protein denaturation | salivary gland | gland 
647 | salivary gland | gland | adipose tissue | connective tissue 
648 | connective tissue | tissue | cartilage | connective tissue 
649 | Metabolism | Biological process | Evaporative cooling of water | Evaporative cooling 
650 | Thermoregulation | Regulation | small intestine | digestive organ 
651 | epithelium | tissue | connective tissue | tissue 
652 | Evaporative cooling of water | Evaporative cooling | aquatic organism | organism 
653 | Evaporative cooling of water | Evaporative cooling | invertebrate | animal 
654 | animal | organism | cartilage | connective tissue 
654 | animal | organism | cartilage | tissue 
655 | Metabolism | Biological process | stomach | digestive organ 
656 | epidermis | tissue | brown fat | adipose tissue 
656 | epidermis | tissue | brown fat | connective tissue 
657 | Protein denaturation by heat | Protein denaturation | stratified squamous epithelium | epithelium 
658 | epithelium | tissue | Disease process | Biological process 
659 | skin | organ | brown fat | adipose tissue 
659 | skin | organ | brown fat | connective tissue 
659 | skin | organ | brown fat | tissue 
660 | Thermoregulation | Regulation | bone | connective tissue 
661 | erythrocyte | blood cell | bone | connective tissue 
662 | brown fat | adipose tissue | small intestine | digestive organ 
663 | mammalian digestive system | digestive system | epithelium | tissue 
664 | Muscle contraction | Mechanical work | small intestine | digestive organ 
665 | connective tissue | tissue | connective tissue | tissue 
666 | stratified squamous epithelium | epithelium | small intestine | digestive organ 
667 | digestive system | organ system | cartilage | connective tissue 
667 | digestive system | organ system | cartilage | tissue 
668 | stratified squamous epithelium | tissue | brown fat | adipose tissue 
668 | stratified squamous epithelium | tissue | brown fat | connective tissue 
669 | stratified squamous epithelium | epithelium | brown fat | adipose tissue 
670 | connective tissue | tissue | bone | connective tissue 
671 | tongue | organ | cartilage | connective tissue 
671 | tongue | organ | cartilage | tissue 
672 | Evaporative cooling of water | Evaporative cooling | Shivering | Biological process 
673 | cuboidal epithelium | epithelium | nervous tissue | tissue 
674 | small intestine | digestive organ | stratified squamous epithelium | epithelium 
675 | Thermoregulation | Regulation | salivary gland | gland 
676 | Disease process | Biological process | Metabolism | Biological process 
677 | blood | tissue | bone | connective tissue 
677 | blood | tissue | bone | tissue 
678 | blood | connective tissue | bone | connective tissue 
679 | nervous tissue | tissue | Protein denaturation by heat | Protein denaturation 
680 | elephant | mammal | brown fat | adipose tissue 
680 | elephant | mammal | brown fat | connective tissue 
680 | elephant | mammal | brown fat | tissue 
681 | aquatic organism | organism | brown fat | adipose tissue 
682 | muscle | tissue | cartilage | connective tissue 
682 | muscle | tissue | cartilage | tissue 
683 | epithelium | tissue | cuboidal epithelium | epithelium 
684 | erythrocyte | blood cell | stomach | digestive organ 
685 | Metabolism | Biological process | epithelium | tissue 
686 | mouse | mammal | stomach | digestive organ 
687 | blood vessel | organ | brown fat | adipose tissue 
687 | blood vessel | organ | brown fat | connective tissue 
687 | blood vessel | organ | brown fat | tissue 
688 | cartilage | connective tissue | mammalian digestive system | digestive system 
689 | mouse | mammal | nervous tissue | tissue 
690 | epithelium | tissue | cuboidal epithelium | epithelium 
691 | nervous tissue | tissue | mouse | mammal 
692 | muscle | tissue | bone | connective tissue 
692 | muscle | tissue | bone | tissue 
693 | elephant | mammal | brown fat | adipose tissue 
693 | elephant | mammal | brown fat | connective tissue 
693 | elephant | mammal | brown fat | tissue 
694 | stomach | digestive organ | Evaporative cooling of water | Evaporative cooling 
695 | bone | connective tissue | mammalian digestive system | digestive system 
696 | Disease process | Biological process | nervous tissue | tissue 
697 | stratified squamous epithelium | epithelium | connective tissue | tissue 
698 | cuboidal epithelium | tissue | bone | connective tissue 
698 | cuboidal epithelium | tissue | bone | tissue 
699 | cuboidal epithelium | epithelium | bone | connective tissue 
700 | Evaporative cooling of water | Evaporative cooling | Evaporative cooling of water | Evaporative cooling 
701 | nervous tissue | tissue | Shivering | Biological process 
702 | salivary gland | gland | invertebrate | animal 
703 | aquatic organism | organism | Disease process | Biological process 
704 | connective tissue | tissue | mammalian digestive system | digestive system 
705 | Evaporative cooling of water | Evaporative cooling | bone | connective tissue 
706 | mouse | mammal | bone | connective tissue 
707 | smooth muscle | tissue | adipose tissue | connective tissue 
707 | smooth muscle | tissue | adipose tissue | tissue 
708 | connective tissue | tissue | bone | connective tissue 
709 | blood | connective tissue | Metabolism | Biological process 
710 | Metabolism | Biological process | Disease process | Biological process 
711 | stomach | digestive organ | Evaporative cooling of water | Evaporative cooling 
712 | stratified squamous epithelium | epithelium | small intestine | digestive organ 
713 | muscle | tissue | adipose tissue | connective tissue 
713 | muscle | tissue | adipose tissue | tissue 
714 | stratified squamous epithelium | epithelium | epithelium | tissue 
715 | blood | connective tissue | small intestine | digestive organ 
716 | Evaporative cooling of water | Evaporative cooling | cartilage | connective tissue 
717 | adipose tissue | connective tissue | nervous tissue | tissue 
718 | stomach | digestive organ | aquatic organism | organism 
719 | cartilage | connective tissue | salivary gland | gland 
720 | bone | tissue | bone | connective tissue 
720 | bone | tissue | bone | tissue 
721 | bone | connective tissue | bone | connective tissue 
722 | mouse | mammal | nervous tissue | tissue 
723 | cartilage | connective tissue | invertebrate | animal 
724 | nervous tissue | tissue | Protein denaturation by heat | Protein denaturation 
725 | aquatic organism | organism | Disease process | Biological process 
726 | Thermoregulation | Regulation | bone | connective tissue 
727 | small intestine | digestive organ | mammalian digestive system | digestive system 
728 | mammalian digestive system | organ system | brown fat | adipose tissue 
728 | mammalian digestive system | organ system | brown fat | connective tissue 
728 | mammalian digestive system | organ system | brown fat | tissue 
729 | mammalian digestive system | digestive system | brown fat | adipose tissue 
730 | aquatic organism | organism | Disease process | Biological process 
731 | Thermoregulation | Regulation | epithelium | tissue 
732 | digestive organ | organ | adipose tissue | connective tissue 
732 | digestive organ | organ | adipose tissue | tissue 
733 | stratified squamous epithelium | tissue | brown fat | adipose tissue 
733 | stratified squamous epithelium | tissue | brown fat | connective tissue 
734 | stratified squamous epithelium | epithelium | brown fat | adipose tissue 
735 | blood | connective tissue | nervous tissue | tissue 
736 | aquatic organism | organism | Disease process | Biological process 
737 | Metabolism | Biological process | mouse | mammal 
738 | Disease process | Biological process | bone | connective tissue 
739 | cartilage | connective tissue | connective tissue | tissue 
740 | Thermoregulation | Regulation | invertebrate | animal 
741 | smooth muscle | tissue | cartilage | connective tissue 
741 | smooth muscle | tissue | cartilage | tissue 
742 | mammalian digestive system | digestive system | bone | connective tissue 
743 | Muscle contraction | Mechanical work | mouse | mammal 
744 | small intestine | digestive organ | stomach | digestive organ 
745 | Thermoregulation | Regulation | mammalian digestive system | digestive system 
746 | aquatic organism | organism | Metabolism | Biological process 
747 | Thermoregulation | Regulation | Protein denaturation by heat | Protein denaturation 
748 | Evaporative cooling of water | Evaporative cooling | nervous tissue | tissue 
749 | bone | connective tissue | stomach | digestive organ 
750 | digestive system | organ system | adipose tissue | connective tissue 
750 | digestive system | organ system | adipose tissue | tissue 
751 | nervous tissue | tissue | small intestine | digestive organ 
752 | Evaporative cooling of water | Evaporative cooling | Protein denaturation by heat | Protein denaturation 
753 | Protein denaturation by heat | Protein denaturation | stratified squamous epithelium | epithelium 
754 | brown fat | adipose tissue | invertebrate | animal 
755 | salivary gland | gland | stratified squamous epithelium | epithelium 
756 | central nervous-system | organ system | adipose tissue | connective tissue 
756 | central nervous-system | organ system | adipose tissue | tissue 
757 | Protein denaturation by heat | Protein denaturation | Shivering | Biological process 
758 | epithelium | tissue | adipose tissue | connective tissue 
759 | Metabolism | Biological process | stratified squamous epithelium | epithelium 
760 | cartilage | tissue | cartilage | connective tissue 
760 | cartilage | tissue | cartilage | tissue 
761 | cartilage | connective tissue | cartilage | connective tissue 
762 | Protein denaturation by heat | Protein denaturation | Disease process | Biological process 
763 | cartilage | tissue | cartilage | connective tissue 
763 | cartilage | tissue | cartilage | tissue 
764 | cartilage | connective tissue | cartilage | connective tissue 
765 | Evaporative cooling of water | Evaporative cooling | stomach | digestive organ 
766 | epithelium | tissue | bone | connective tissue 
767 | stomach | digestive organ | stomach | digestive organ 
768 | aquatic organism | organism | bone | connective tissue 
769 | cartilage | tissue | bone | connective tissue 
769 | cartilage | tissue | bone | tissue 
770 | cartilage | connective tissue | bone | connective tissue 
771 | Muscle contraction | Mechanical work | Disease process | Biological process 
772 | stratified squamous epithelium | epithelium | invertebrate | animal 
773 | tongue | organ | cuboidal epithelium | epithelium 
773 | tongue | organ | cuboidal epithelium | tissue 
774 | central nervous-system | organ system | stratified squamous epithelium | epithelium 
774 | central nervous-system | organ system | stratified squamous epithelium | tissue 
775 | muscle | tissue | adipose tissue | connective tissue 
775 | muscle | tissue | adipose tissue | tissue 
776 | Evaporative cooling of water | Evaporative cooling | Protein denaturation by heat | Protein denaturation 
777 | small intestine | digestive organ | salivary gland | gland 
778 | adipose tissue | tissue | brown fat | adipose tissue 
778 | adipose tissue | tissue | brown fat | connective tissue 
779 | adipose tissue | connective tissue | brown fat | adipose tissue 
780 | mammalian digestive system | digestive system | salivary gland | gland 
781 | animal | organism | cartilage | connective tissue 
781 | animal | organism | cartilage | tissue 
782 | blood | connective tissue | Evaporative cooling of water | Evaporative cooling 
783 | connective tissue | tissue | bone | connective tissue 
784 | digestive system | organ system | adipose tissue | connective tissue 
784 | digestive system | organ system | adipose tissue | tissue 
785 | stomach | digestive organ | Protein denaturation by heat | Protein denaturation 
786 | Muscle contraction | Mechanical work | aquatic organism | organism 
787 | aquatic organism | organism | epithelium | tissue 
788 | Muscle contraction | Mechanical work | Metabolism | Biological process 
789 | Thermoregulation | Regulation | invertebrate | animal 
790 | nervous tissue | tissue | Metabolism | Biological process 
791 | Muscle contraction | Mechanical work | stratified squamous epithelium | epithelium 
792 | Protein denaturation by heat | Protein denaturation | epithelium | tissue 
793 | digestive system | organ system | cuboidal epithelium | epithelium 
793 | digestive system | organ system | cuboidal epithelium | tissue 
794 | invertebrate | animal | Disease process | Biological process 
795 | connective tissue | tissue | Metabolism | Biological process 
796 | cartilage | connective tissue | nervous tissue | tissue 
797 | Disease process | Biological process | stomach | digestive organ 
798 | Metabolism | Biological process | Disease process | Biological process 
799 | Metabolism | Biological process | mammalian digestive system | digestive system 
800 | Protein denaturation by heat | Protein denaturation | Metabolism | Biological process 
801 | Protein denaturation by heat | Protein denaturation | Protein denaturation by heat | Protein denaturation 
802 | animal | organism | adipose tissue | connective tissue 
802 | animal | organism | adipose tissue | tissue 
803 | animal | organism | cartilage | connective tissue 
803 | animal | organism | cartilage | tissue 
804 | tongue | organ | cartilage | connective tissue 
804 | tongue | organ | cartilage | tissue 
805 | Shivering | Biological process | connective tissue | tissue 
806 | digestive system | organ system | bone | connective tissue 
806 | digestive system | organ system | bone | tissue 
807 | mammalian digestive system | digestive system | adipose tissue | connective tissue 
808 | adipose tissue | connective tissue | stomach | digestive organ 
809 | Evaporative cooling of water | Evaporative cooling | mammalian digestive system | digestive system 
810 | mouse | mammal | Metabolism | Biological process 
811 | brown fat | adipose tissue | stomach | digestive organ 
812 | cartilage | connective tissue | stomach | digestive organ 
813 | Evaporative cooling of water | Evaporative cooling | cartilage | connective tissue 
814 | Evaporative cooling of water | Evaporative cooling | connective tissue | tissue 
815 | Evaporative cooling of water | Evaporative cooling | mammalian digestive system | digestive system 
816 | Shivering | Biological process | Shivering | Biological process 
817 | adipose tissue | connective tissue | stomach | digestive organ 
818 | Muscle contraction | Mechanical work | mouse | mammal 
819 | nervous tissue | tissue | stratified squamous epithelium | epithelium 
820 | salivary gland | gland | Shivering | Biological process 
821 | connective tissue | tissue | Shivering | Biological process 
822 | brown fat | adipose tissue | nervous tissue | tissue 
823 | brown fat | connective tissue | bone | connective tissue 
823 | brown fat | connective tissue | bone | tissue 
824 | brown fat | adipose tissue | bone | connective tissue 
825 | Evaporative cooling of water | Evaporative cooling | epithelium | tissue 
826 | connective tissue | tissue | bone | connective tissue 
827 | epithelium | tissue | aquatic organism | organism 
828 | blood | connective tissue | epithelium | tissue 
829 | Metabolism | Biological process | Disease process | Biological process 
830 | mouse | mammal | Evaporative cooling of water | Evaporative cooling 
831 | mammalian digestive system | digestive system | adipose tissue | connective tissue 
832 | tendon | tissue | brown fat | adipose tissue 
832 | tendon | tissue | brown fat | connective tissue 
832 | tendon | tissue | brown fat | tissue 
833 | tendon | connective tissue | brown fat | adipose tissue 
833 | tendon | connective tissue | brown fat | connective tissue 
834 | epithelium | tissue | bone | connective tissue 
835 | connective tissue | tissue | Metabolism | Biological process 
836 | epithelium | tissue | brown fat | adipose tissue 
837 | mammalian digestive system | digestive system | connective tissue | tissue 
838 | animal | organism | adipose tissue | connective tissue 
838 | animal | organism | adipose tissue | tissue 
839 | connective tissue | tissue | invertebrate | animal 
840 | brown fat | adipose tissue | invertebrate | animal 
841 | salivary gland | gland | Shivering | Biological process 
842 | stratified squamous epithelium | epithelium | Protein denaturation by heat | Protein denaturation 
843 | brown fat | adipose tissue | Disease process | Biological process 
844 | aquatic organism | organism | invertebrate | animal 
845 | bone | connective tissue | nervous tissue | tissue 
846 | mouse | mammal | brown fat | adipose tissue 
847 | bone | connective tissue | mouse | mammal 
848 | blood | tissue | cuboidal epithelium | epithelium 
848 | blood | tissue | cuboidal epithelium | tissue 
849 | blood | connective tissue | cuboidal epithelium | epithelium 
850 | Evaporative cooling of water | Evaporative cooling | invertebrate | animal 
851 | digestive system | organ system | cuboidal epithelium | epithelium 
851 | digestive system | organ system | cuboidal epithelium | tissue 
852 | Evaporative cooling of water | Evaporative cooling | Metabolism | Biological process 
853 | connective tissue | tissue | bone | connective tissue 
854 | central nervous-system | organ system | bone | connective tissue 
854 | central nervous-system | organ system | bone | tissue 
855 | tongue | organ | adipose tissue | connective tissue 
855 | tongue | organ | adipose tissue | tissue 
856 | aquatic organism | organism | small intestine | digestive organ 
857 | connective tissue | tissue | Metabolism | Biological process 
858 | Muscle contraction | Mechanical work | connective tissue | tissue 
859 | cartilage | tissue | brown fat | adipose tissue 
859 | cartilage | tissue | brown fat | connective tissue 
860 | cartilage | connective tissue | brown fat | adipose tissue 
861 | Disease process | Biological process | Evaporative cooling of water | Evaporative cooling 
862 | aquatic organism | organism | mammalian digestive system | digestive system 
863 | smooth muscle | tissue | adipose tissue | connective tissue 
863 | smooth muscle | tissue | adipose tissue | tissue 
864 | cuboidal epithelium | epithelium | connective tissue | tissue 
865 | cuboidal epithelium | tissue | brown fat | adipose tissue 
865 | cuboidal epithelium | tissue | brown fat | connective tissue 
866 | cuboidal epithelium | epithelium | brown fat | adipose tissue 
867 | salivary gland | gland | invertebrate | animal 
868 | cartilage | tissue | brown fat | adipose tissue 
868 | cartilage | tissue | brown fat | connective tissue 
869 | cartilage | connective tissue | brown fat | adipose tissue 
870 | tendon | connective tissue | cuboidal epithelium | epithelium 
870 | tendon | connective tissue | cuboidal epithelium | tissue 
871 | mouse | mammal | Protein denaturation by heat | Protein denaturation 
872 | tongue | organ | adipose tissue | connective tissue 
872 | tongue | organ | adipose tissue | tissue 
873 | Protein denaturation by heat | Protein denaturation | Protein denaturation by heat | Protein denaturation 
874 | salivary gland | gland | Shivering | Biological process 
875 | stomach | digestive organ | stratified squamous epithelium | epithelium 
876 | Thermoregulation | Regulation | Protein denaturation by heat | Protein denaturation 
877 | stratified squamous epithelium | epithelium | small intestine | digestive organ 
878 | aquatic organism | organism | connective tissue | tissue 
879 | bone | connective tissue | Evaporative cooling of water | Evaporative cooling 
880 | connective tissue | tissue | brown fat | adipose tissue 
881 | Muscle contraction | Mechanical work | mouse | mammal 
882 | bone | connective tissue | Evaporative cooling of water | Evaporative cooling 
883 | brown fat | adipose tissue | epithelium | tissue 
884 | epithelium | tissue | stratified squamous epithelium | epithelium 
885 | brown fat | adipose tissue | mammalian digestive system | digestive system 
886 | Protein denaturation by heat | Protein denaturation | adipose tissue | connective tissue 
887 | Thermoregulation | Regulation | mouse | mammal 
888 | salivary gland | gland | Evaporative cooling of water | Evaporative cooling 
889 | tongue | organ | stratified squamous epithelium | epithelium 
889 | tongue | organ | stratified squamous epithelium | tissue 
890 | Shivering | Biological process | brown fat | adipose tissue 
891 | salivary gland | gland | Evaporative cooling of water | Evaporative cooling 
892 | tongue | organ | brown fat | adipose tissue 
892 | tongue | organ | brown fat | connective tissue 
893 | mouse | mammal | invertebrate | animal 
894 | mammalian digestive system | digestive system | adipose tissue | connective tissue 
